sku,url_key
unique ID of product,Set product URL if needed
W8-200-1,artichokequinoa
W8-200-1,artichokequinoa
W8-200-1C,artichokequinoa
W8-200-2,spicyjalapenoquinoa
W8-200-2,spicyjalapenoquinoa
W8-200-2C,spicyjalapenoquinoa
W8-200-3,mangojalapenoquinoa
8-200-3,
8-200-3C,
W8-200-4,
8-200-4,
8-200-4C,
W17-003-1,basilicosauce
17-003-1,basilicosauce
17-003-1C,basilicosauce
W17-003-2,puttanescasauce
17-003-2,puttanescasauce
17-003-2C,puttanescasauce
W17-003-3,arrabbiatasauce
17-003-3,arrabbiatasauce
17-003-3C,arrabbiatasauce
W17-003-4,formaggiosauce
17-003-4,formaggiosauce
17-003-4C,formaggiosauce
W17-001-1,basilpesto 
17-001-1,basilpesto 
17-001-1C,basilpesto 
W17-001-2,artichokepesto 
17-001-2,artichokepesto 
17-001-2C,artichokepesto 
W17-001-3,sundriedtomatopesto 
17-001-3,sundriedtomatopesto 
17-001-3C,sundriedtomatopesto 
W17-010-1,artichoketrufflesauce
17-010-1,artichoketrufflesauce
17-010-1C,artichoketrufflesauce
W17-010-2,basilpestotrufflesauce
17-010-2,basilpestotrufflesauce
17-010-2C,basilpestotrufflesauce
W17-010-3,sundriedtomatotrufflesauce
17-010-3,sundriedtomatotrufflesauce
17-010-3C,sundriedtomatotrufflesauce
W7-210-22,farfallepasta
7-210-22,farfallepasta
7-210-22C,farfallepasta
W7-210-42,elbowpasta
7-210-42,elbowpasta
7-210-42C,elbowpasta
W7-210-50,casareccepasta
7-210-50,casareccepasta
7-210-50C,casareccepasta
W7-210-66,fusillipasta
7-210-66,fusillipasta
7-210-66C,fusillipasta
W7-210-71,pennereigatepasta
7-210-71,pennereigatepasta
7-210-71C,pennereigatepasta
W7-210-80,capellinipasta
7-210-80,capellinipasta
7-210-80C,capellinipasta
W7-210-82,spaghettipasta
7-210-82,spaghettipasta
7-210-82C,spaghettipasta
W7-210-91,linguinepasta
7-210-91,linguinepasta
7-210-91C,linguinepasta
W7-006,gnocchi
7-006,gnocchi
7-006C,gnocchi
W7-003,wholewheatgnocchi
7-003,wholewheatgnocchi
7-003C,wholewheatgnocchi
W7-005,glutenfreegnocchi
7-005,glutenfreegnocchi
7-005C,glutenfreegnocchi
W3-075-1,fruttatoextravirginoliveoilsmall
3-075-1,fruttatoextravirginoliveoilsmall
3-075-1,fruttatoextravirginoliveoilsmall
W3-076-1,robustoextravirginoliveoilsmall
3-076-1,robustoextravirginoliveoilsmall
3-076-1C,robustoextravirginoliveoilsmall
W3-075-2,fruttatoextravirginoliveoillarge
3-075-2,fruttatoextravirginoliveoillarge
3-075-2C,fruttatoextravirginoliveoillarge
W3-076-2,robustoextravirginoliveoillarge
3-076-2,robustoextravirginoliveoillarge
3-076-2C,robustoextravirginoliveoillarge
W3-005,grapeseedoil
3-005,grapeseedoil
3-005C,grapeseedoil
W3-021,balsamichighdensity
3-021,balsamichighdensity
3-021C,balsamichighdensity
W3-047,balsamicpremium
3-047,balsamicpremium
3-047C,balsamicpremium
W3-048,whitebalsamic
3-048,whitebalsamic
3-048C,whitebalsamic
W8-030-1,cookedcannellini
8-030-1,cookedcannellini
8-030-1C,cookedcannellini
W8-030-2,cookedgarbanzo
8-030-2,cookedgarbanzo
8-030-2C,cookedgarbanzo
W9-108-1,saffron
9-108-1,saffron
9-108-1C,saffron
W8-100-1,lentils
8-100-1,lentils
8-100-1C,lentils
W8-100-2,drycannellini
8-100-2,drycannellini
8-100-2C,drycannellini
W8-100-3,couscous
8-100-3,couscous
8-100-3C,couscous
W8-100-4,dryfarro
8-100-4,dryfarro
